id,listing_type,title,property_name,project,location,price,price_per_sqft,area,area_unit,area_type,bhk,bathrooms,possession,highlights,nearby,description,builder,posted_by,image,url,configurations,source_page
443747,PROJECT,Gami Avant,Gami Avant,,"Vashi, Navi Mumbai",₹1.67 - 1.92 Cr | ₹2.29 Cr,,,,,3 BHK,,,,D Mart Mall | Mumbai Pune Expressway,"Beautiful 2,3 BHK apartments in Vashi, are now available in Gami Avant housing project. Prices of apartments in this project, vary between Rs. 1.67 - 2.29 Cr. Here units have different sizes, mostly in range of 553 - 850 sqft CARPET area. Gami Avant is a RERA- registered society and P51700079740 is the RERA registration number",Gami Group,,,https://www.99acres.com/gami-avant-vashi-navi-mumbai-npxid-r443747,2 BHK Apartment: ₹1.67 - 1.92 Cr | 3 BHK Apartment: ₹2.29 Cr,1
409983,PROJECT,Metricon The Gateway,Metricon The Gateway,,"Vashi, Navi Mumbai",₹3.51 - 4.78 Cr | ₹5.1 - 8.89 Cr,,,,,4 BHK,,,,Sacred Heart High School & Jr College | Mumbai Highway,"Choose your dream home from the wide variety of 3,4 BHK apartments in Vashi, available for sale in Metricon The Gateway. This society is RERA approved and P51700050451 is the RERA number. Here units have different sizes, mostly in range of 888 - 2,248 sqft CARPET area. Apartments in this complex are available in price range of Rs. 3.51 - 8.89 Cr",Metricon Realty LLP,,,https://www.99acres.com/metricon-the-gateway-vashi-navi-mumbai-npxid-r409983,3 BHK Apartment: ₹3.51 - 4.78 Cr | 4 BHK Apartment & Duplex: ₹5.1 - 8.89 Cr,1
377041,PROJECT,Arihant Advika,Arihant Advika,,"Vashi, Navi Mumbai",₹2.22 - 2.7 Cr | ₹2.92 - 3.81 Cr | ₹5.03 Cr,,,,,4 BHK,,,,Fortis Hiranandani Hospital | Vashi Kopar Khairane Road,"Choose your dream home from the wide variety of 2,3,4 BHK apartments in Vashi, available for sale in Arihant Advika. Apartments in Arihant Advika have CARPET area ranging between 620 - 1,508 sqft. Prices of apartments in this project, vary between Rs. 2.22 - 5.03 Cr. The housing society is RERA-registered with P51700028950 registration number",Arihant Superstructures,,,https://www.99acres.com/arihant-advika-vashi-navi-mumbai-npxid-r377041,2 BHK Apartment: ₹2.22 - 2.7 Cr | 3 BHK Apartment: ₹2.92 - 3.81 Cr | 4 BHK Apartment: ₹5.03 Cr,1
435489,PROJECT,Sun View Heights,Sun View Heights,,"Vashi, Navi Mumbai",₹2.11 - 2.24 Cr | ₹3.09 - 3.1 Cr,,,,,3 BHK,,,,St. Mary's School | Kalina University of Mumbai,"Sun View Heights, one of the known housing societes in Navi Mumbai, brings classic yet modern 2,3 BHK apartments in Vashi. Prices of apartments in this project, vary between Rs. 2.11 - 3.1 Cr. The housing society is RERA-registered with P51700077509 registration number. Apartments in Sun View Heights have CARPET area ranging between 774 - 1,074 sqft",Sun View Homes LLP,,,https://www.99acres.com/sun-view-heights-vashi-navi-mumbai-npxid-r435489,2 BHK Apartment: ₹2.11 - 2.24 Cr | 3 BHK Apartment: ₹3.09 - 3.1 Cr,1
378371,PROJECT,EV 10 Marina Bay,EV 10 Marina Bay,,"Vashi, Navi Mumbai",₹2.4 - 4.2 Cr | ₹3.45 - 6.35 Cr,,,,,3 BHK,,,,"St. Mary's Multipurpose High school | Fortis Hiranandani Hospital, Vashi","Beautiful 2,3 BHK apartments in Vashi, are now available in EV 10 Marina Bay housing project. Apartments in this complex are available in price range of Rs. 2.4 - 6.35 Cr. Here units have different sizes, mostly in range of 607 - 1,391 sqft CARPET area. EV 10 Marina Bay is a RERA- registered society and P51700028722 is the RERA registration number",EV Group,,,https://www.99acres.com/ev-10-marina-bay-vashi-navi-mumbai-npxid-r378371,2 BHK Apartment: ₹2.4 - 4.2 Cr | 3 BHK Apartment: ₹3.45 - 6.35 Cr,1
382885,PROJECT,Godrej Bayview,Godrej Bayview,,"Vashi, Navi Mumbai",₹2.95 - 4.22 Cr | ₹4.09 - 5.25 Cr,,,,,3 BHK,,,,Karmaveer Bhaurao Patil Collg | Tortoise Amusement Park Navi,"Check out 2,3 BHK apartments in Vashi, now available for sale at Godrej Bayview. Here units have different sizes, mostly in range of 556 - 990 sqft CARPET area. Prices of apartments in this project, vary between Rs. 2.95 - 5.25 Cr. Godrej Bayview 's RERA registration number is P51700031726",Godrej Properties,,,https://www.99acres.com/godrej-bayview-vashi-navi-mumbai-npxid-r382885,2 BHK Apartment: ₹2.95 - 4.22 Cr | 3 BHK Apartment: ₹4.09 - 5.25 Cr,1
417013,PROJECT,Goodwill Wisteria,Goodwill Wisteria,,"Vashi, Navi Mumbai",₹3.34 - 4.82 Cr | ₹5.69 - 6.89 Cr | ₹6.69 Cr,,,,,5 BHK,,,,Avalon Heights School | Fortune Select Exotica,"Goodwill Wisteria society now offers elegantly built 3,4,5 BHK apartments in Vashi. Here units have different sizes, mostly in range of 1,169 - 2,338 sqft CARPET area. Goodwill Wisteria 's RERA registration number is P51700052581. Apartments in this complex are available in price range of Rs. 3.34 - 6.89 Cr",Goodwill Developers,,,https://www.99acres.com/goodwill-wisteria-vashi-navi-mumbai-npxid-r417013,3 BHK Apartment: ₹3.34 - 4.82 Cr | 4 BHK Apartment: ₹5.69 - 6.89 Cr | 5 BHK Apartment: ₹6.69 Cr,1
394218,PROJECT,Metro Aykon,Metro Aykon,,"Vashi, Navi Mumbai",₹5.53 - 6.22 Cr | ₹9.1 - 10.7 Cr | ₹18.61 Cr,,,,,5 BHK,,,,Fortune Select Exotica | Orchids The International School,"Here are beautifully built 3,4,5 BHK apartments in Vashi, available for sale at Metro Aykon. Metro Aykon 's RERA registration number is P51700046010. Apartments in this complex are available in price range of Rs. 5.53 - 18.61 Cr. Here units have different sizes, mostly in range of 1,464 - 5,417 sqft CARPET area",Metro Group,,,https://www.99acres.com/metro-aykon-vashi-navi-mumbai-npxid-r394218,3 BHK Apartment: ₹5.53 - 6.22 Cr | 4 BHK Apartment: ₹9.1 - 10.7 Cr | 5 BHK Apartment: ₹18.61 Cr,1
440618,PROJECT,Seabreeze at Godrej Bayview,Seabreeze at Godrej Bayview,,"Vashi, Navi Mumbai",₹3.34 Cr | ₹4.89 Cr,,,,,3 BHK,,,,Avalon Heights Int | Vinamra Swaraj,"Check out 2,3 BHK apartments in Vashi, now available for sale at Seabreeze at Godrej Bayview. This society offers apartments in the price range of Rs. 3.34 - 4.89 Cr. Apartments in Seabreeze at Godrej Bayview have CARPET area ranging between 860 - 1,260 sqft. Seabreeze at Godrej Bayview 's RERA registration number is P51700079255",Godrej Properties,,,https://www.99acres.com/seabreeze-at-godrej-bayview-vashi-navi-mumbai-npxid-r440618,2 BHK Apartment: ₹3.34 Cr | 3 BHK Apartment: ₹4.89 Cr,1
435714,PROJECT,Kolte La Vita,Kolte La Vita,,"Vashi, Navi Mumbai",₹1.85 - 2.77 Cr | ₹71.93 L - 1.78 Cr,,,,,2 BHK,,,,IES Navi Mumbai | MGM New Bombay Hospital,"Check out 2 BHK Apartment and 1 BHK Studio Apartment in Kolte La Vita, one of the best offerings in Vashi. Gymnasium, Club House and Lounge are some of the amenities offered here. Properties in Kolte La Vita are sized in the range of 218 - 840 sqft. Kolte La Vita possession will begin from Nov, 2028",Kolte Patil,,,https://www.99acres.com/kolte-la-vita-vashi-navi-mumbai-npxid-r435714,2 BHK Apartment: ₹1.85 - 2.77 Cr | 1 RK Studio Apartment: ₹71.93 L - 1.78 Cr,1
