id,listing_type,title,property_name,project,location,price,price_per_sqft,area,area_unit,area_type,bhk,bathrooms,possession,highlights,nearby,description,builder,posted_by,image,url,configurations,source_page
O92618820,PROPERTY,"2 BHK Flat in Dhokali, Thane West","2 BHK Flat in Dhokali, Thane West",The Icon by Risland,"Dhokali, Thane West",₹1.46 Cr,"₹18,838 /sqft",775 sqft,(111 sqm),Carpet Area,2 BHK,2,Ready To Move,5th out of 30 Floors | Overlooking Main Road,,"This residential flat is north-East-Facing direction. The flat is over 1200 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and more than 3 balconies. This flat lies on the 5th level of a 30 storey building. An added advantage of this 0-1 year old flat is that it is available for immediate possession as the project is already ready to move. The flat comes well built with vit...",Peacock Housing,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-the-icon-by-risland-dhokali-naka-mumbai-thane-1200-sqft-spid-O92618820,,1
Z93348572,PROPERTY,"1 BHK Flat in Kasar Vadavali, Thane","1 BHK Flat in Kasar Vadavali, Thane",Green Square,"Kasar Vadavali, Thane",₹52.99 Lac,"₹12,586 /sqft",421 sqft,(39 sqm),Carpet Area,1 BHK,1,Ready To Move,5th out of 10 Floors,,"Located in green square, kasar vadavali, thane, this 1 bhk flat offers 421 sqft of unfurnished living space on the 5th floor of a mid-Rise building. A 5-10 year old property, it features 1 bedroom and 1 bathroom, available for immediate sale. Nearby are key amenities like dhanlaxmi shopping and multiple religious sites, enhancing everyday convenience.",Owner,Yesterday,,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-green-square-kasar-vadavali-thane-421-sqft-spid-Z93348572,,1
C90753460,PROPERTY,"2 BHK Flat in Kalwa, Thane","2 BHK Flat in Kalwa, Thane",Shree Krupa Nandanvan Homes,"Kalwa, Thane",₹1.7 - 1.75 Cr,"₹21,216 /sqft",807-819 sqft,(75 - 76 sqm),Carpet Area,2 BHK,,Under Construction,1st out of 33 Floors,,"Book your 2 BHK apartment in Kalwa, Thane at a price ranging from Rs. 1.7 Crore to Rs. 1.75 Crore. The Shree Krupa Nandanvan Homes hosts exclusively designed 3 towers, each presenting an epitome of class and simplicity. The residential apartments have a carpet area of 807.0 sq. ft. to 819.0 sq. ft. and are an under construction. With an impressive layout and a comprehensive range of amenities, ...",SHREEKRUPA BUILDERS,Builder,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shree-krupa-nandanvan-homes-kalwa-thane-807-sqftto-819-sqft-npspid-C90753460,,1
354320,PROJECT,Dosti Greater Thane,Dosti Greater Thane,,"Kalher, Thane West",₹44.03 - 49.96 L,,,,,1 BHK,,,,Leo International School | National Highway 848,Finest 1 BHK apartments in Kalher available for sale in Dosti Greater Thane. Apartment prices in this housing society vary in the range of Rs. 44.03 - 49.96 L. Apartments in Dosti Greater Thane have CARPET area ranging between 339 - 385 sqft. Dosti Greater Thane 's RERA registration number is P51700024923,Dosti Realty,,,https://www.99acres.com/dosti-greater-thane-kalher-mumbai-thane-npxid-r354320,1 BHK Apartment: ₹44.03 - 49.96 L,1
400444,PROJECT,Ashar Pulse,Ashar Pulse,,"Majiwada, Thane",₹79.04 L - 1.07 Cr | ₹1.62 - 2.14 Cr | ₹2.69 - 2.74 Cr,,,,,3 BHK,,,,Ghodbunder Road | Spring Buds International School,"Beautiful 1,2,3 BHK apartments in Majiwada, are now available in Ashar Pulse housing project. Ashar Pulse 's RERA registration number is P51700047432. This society offers apartments in the price range of Rs. 79.04 L - 2.74 Cr. Apartments in Ashar Pulse have CARPET area ranging between 308 - 1,091 sqft",Ashar,,,https://www.99acres.com/ashar-pulse-majiwada-mumbai-thane-npxid-r400444,1 BHK Apartment: ₹79.04 L - 1.07 Cr | 2 BHK Apartment: ₹1.62 - 2.14 Cr | 3 BHK Apartment: ₹2.69 - 2.74 Cr,1
403476,PROJECT,Runwal One,Runwal One,,"Manpada, Thane",₹1.06 - 1.22 Cr | ₹1.29 - 1.8 Cr | ₹2.15 - 3.19 Cr,,,,,3 BHK,,,,National Highway 48 | R-Mall Thane west,"Check out 1,2,3 BHK apartments in Manpada, now available for sale at Runwal One. Runwal One apartments are available in multiples sizes, ranging from 441 - 1,277 sqft CARPET area. Runwal One 's RERA registration number is P51700048278. Apartments in this complex are available in price range of Rs. 1.06 - 3.19 Cr",Runwal Realty,,,https://www.99acres.com/runwal-one-manpada-mumbai-thane-npxid-r403476,1 BHK Apartment: ₹1.06 - 1.22 Cr | 2 BHK Apartment: ₹1.29 - 1.8 Cr | 3 BHK Apartment: ₹2.15 - 3.19 Cr,1
309903,PROJECT,Crown Kolshet,Crown Kolshet,,"Kolshet Road, Thane",₹62 - 93.49 L | ₹1.02 Cr,,,,,2 BHK,,,,NaMo Grand Central Park | R Mall Thane,"Crown Kolshet, one of the known housing societes in Thane, brings classic yet modern 1,2 BHK apartments in Kolshet Road. Apartments in Crown Kolshet have CARPET area ranging between 317 - 530 sqft. This society offers apartments in the price range of Rs. 62 L - 1.02 Cr. Crown Kolshet is a RERA- registered society and P51700045858 is the RERA registration number",Lodha,,,https://www.99acres.com/crown-kolshet-kolshet-road-thane-npxid-r309903,1 BHK Apartment: ₹62 - 93.49 L | 2 BHK Apartment: ₹1.02 Cr,1
447675,PROJECT,Estella at Kalpataru Parkcity,Estella at Kalpataru Parkcity,,"Kolshet, Thane West",₹1.85 Cr | ₹2.46 Cr | ₹4.8 Cr,,,,,4 BHK,,,,Kuantum Leap International School | R Mall Thane,"Looking for your dream home? Explore 2,3,4 BHK apartments in Kolshet, now available in Estella at Kalpataru Parkcity. Estella at Kalpataru Parkcity 's RERA registration number is PR1332022500106. Estella at Kalpataru Parkcity has apartments in multiple configurations, in range of 783 - 1,748 sqft. Prices of apartments in this project, vary between Rs. 1.85 - 4.8 Cr",Kalpataru,,,https://www.99acres.com/estella-at-kalpataru-parkcity-kolshet-mumbai-thane-npxid-r447675,2 BHK Apartment: ₹1.85 Cr | 3 BHK Apartment: ₹2.46 Cr | 4 BHK Apartment: ₹4.8 Cr,1
463127,PROJECT,TenX District 9,TenX District 9,,"Pokharan Road, Thane West",₹1.59 - 1.99 Cr,,,,,2 BHK,,,,Lake Shore Mall | Tikuji-ni-Wadi Amusement Park,"Looking for your dream home? Explore 2 BHK apartments in Pokharan Road, now available in TenX District 9. Here units have different sizes, mostly in range of 600 - 745 sqft CARPET area. TenX District 9 's RERA registration number is PM1331012502632. Apartment prices in this housing society vary in the range of Rs. 1.59 - 1.99 Cr",Raymond Realty,,,https://www.99acres.com/tenx-district-9-pokharan-road-mumbai-thane-npxid-r463127,2 BHK Apartment: ₹1.59 - 1.99 Cr,1
405058,PROJECT,Raymond Realty Ten X Era,Raymond Realty Ten X Era,,"Pokharan Road, Thane West",₹1.51 - 1.96 Cr | ₹2 - 2.46 Cr,,,,,3 BHK,,,,Viviana Mall | Fortune Park Lake City,"Raymond Realty Ten X Era society now offers elegantly built 2,3 BHK apartments in Pokharan Road. The housing society is RERA-registered with P51700049520 registration number. Raymond Realty Ten X Era apartments are available in multiples sizes, ranging from 595 - 894 sqft CARPET area. Apartment prices in this housing society vary in the range of Rs. 1.51 - 2.46 Cr",Raymond Realty,,,https://www.99acres.com/raymond-realty-ten-x-era-pokharan-road-mumbai-thane-npxid-r405058,2 BHK Apartment: ₹1.51 - 1.96 Cr | 3 BHK Apartment: ₹2 - 2.46 Cr,1
