id,listing_type,title,property_name,project,location,price,price_per_sqft,area,area_unit,area_type,bhk,bathrooms,possession,highlights,nearby,description,builder,posted_by,image,url,configurations,source_page
433815,PROJECT,Isle of Calm by GHP Group,Isle of Calm by GHP Group,,"Powai, Mumbai",₹1.33 - 1.61 Cr | ₹1.65 - 2.5 Cr | ₹3.98 Cr,,,,,3 BHK,,,,Chiranjeevi Hospital | Oberoi Mall,"Isle of Calm by GHP Group, one of the known housing societes in Central Mumbai, brings classic yet modern 1,2,3 BHK apartments in Powai. Apartment prices in this housing society vary in the range of Rs. 1.33 - 3.98 Cr. Here units have different sizes, mostly in range of 415 - 1,245 sqft CARPET area. Isle of Calm by GHP Group is a RERA- registered society and P51800077401 is the RERA registration number",GHP Group,,,https://www.99acres.com/isle-of-calm-by-ghp-group-powai-central-mumbai-suburbs-npxid-r433815,1 BHK Apartment: ₹1.33 - 1.61 Cr | 2 BHK Apartment: ₹1.65 - 2.5 Cr | 3 BHK Apartment: ₹3.98 Cr,1
446564,PROJECT,Nahars Chandi Valley,Nahars Chandi Valley,,"Chandivali, Mumbai",₹3.84 - 6.71 Cr | ₹8.95 Cr,,,,,4 BHK,,,,SM Shetty School | L&T Business Park,"Here are beautifully built 3,4 BHK apartments in Chandivali, available for sale at Nahars Chandi Valley. Nahars Chandi Valley apartments are available in multiples sizes, ranging from 1,068 - 2,487 sqft CARPET area. Prices of apartments in this project, vary between Rs. 3.84 - 8.95 Cr. This society is RERA approved and PM1180002500059 is the RERA number",Nahar Group,,,https://www.99acres.com/nahars-chandi-valley-chandivali-central-mumbai-suburbs-npxid-r446564,3 BHK Apartment: ₹3.84 - 6.71 Cr | 4 BHK Apartment: ₹8.95 Cr,1
415161,PROJECT,Hiranandani Empress Hill,Hiranandani Empress Hill,,"Hiranandani Gardens Powai, Mumbai",₹6.73 - 10.28 Cr | ₹10.4 - 10.5 Cr,,,,,4 BHK,,,,Spectra building | Hiranandani Foundation School,"Looking for your dream home? Explore 3,4 BHK apartments in Hiranandani Gardens Powai, now available in Hiranandani Empress Hill. This society is RERA approved and P51800052633 is the RERA number. Apartments in this complex are available in price range of Rs. 6.73 - 10.5 Cr. Hiranandani Empress Hill apartments are available in multiples sizes, ranging from 1,076 - 1,679 sqft CARPET area",Hiranandani Developers,,,https://www.99acres.com/hiranandani-empress-hill-hiranandani-gardens-powai-central-mumbai-suburbs-npxid-r415161,3 BHK Apartment: ₹6.73 - 10.28 Cr | 4 BHK Apartment: ₹10.4 - 10.5 Cr,1
387255,PROJECT,L&T Elixir Reserve,L&T Elixir Reserve,,"Powai, Mumbai",₹3.85 - 3.9 Cr | ₹5.73 - 6.9 Cr,,,,,3 BHK,,,,A. M. Naik School | The Westin Hotel Mumbai Powai Lake,"Finest 2,3 BHK apartments in Powai available for sale in L&T Elixir Reserve. This society is RERA approved and P51800033618 is the RERA number. Apartments in this complex are available in price range of Rs. 3.85 - 6.9 Cr. Here units have different sizes, mostly in range of 632 - 1,131 sqft CARPET area",L and T Realty,,,https://www.99acres.com/l-t-elixir-reserve-powai-central-mumbai-suburbs-npxid-r387255,2 BHK Apartment: ₹3.85 - 3.9 Cr | 3 BHK Apartment: ₹5.73 - 6.9 Cr,1
D93324318,PROPERTY,"2 BHK Flat in Chandivali, Mumbai","2 BHK Flat in Chandivali, Mumbai",Godrej Urban Park,"Chandivali, Mumbai",₹2.35 Cr,"₹37,183 /sqft",632 sqft,(59 sqm),Carpet Area,2 BHK,2,Ready To Move,8th out of 15 Floors | Centrally Air Conditioned,,"This well-Designed 2 bhk apartment in godrej urban park, chandivali offers a comfortable and modern living experience. The home features a spacious balcony with open city views, allowing plenty of natural light and ventilation throughout the day. Thoughtfully planned interiors make efficient use of space, creating a bright and welcoming atmosphere ideal for both families and working professiona...",Owner,Yesterday,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-godrej-urban-park-chandivali-central-mumbai-suburbs-632-sqft-spid-D93324318,,1
S93325678,PROPERTY,"2 BHK Flat in Powai, Mumbai","2 BHK Flat in Powai, Mumbai",Kanakia Silicon Valley,"Powai, Mumbai",₹2.6 Cr,"₹39,039 /sqft",666 sqft,(62 sqm),Carpet Area,2 BHK,2,Ready To Move,10th out of 24 Floors | Centrally Air Conditioned,,"This north-East facing 2 bhk at kanakia future city greets you with radiant morning sunlight that keeps the home exceptionally bright and warm through the day. Steady northwest breezes maintain a fresh, comfortable atmosphere, while the quiet setting ensures a calm retreat from the city's pace. Residents enjoy a grand clubhouse with indoor games and community spaces, a swimming pool, a fully eq...",Owner,Yesterday,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-kanakia-silicon-valley-powai-central-mumbai-suburbs-666-sqft-spid-S93325678,,1
387813,PROJECT,Lodha Bellagio,Lodha Bellagio,,"Powai, Mumbai",₹3.42 - 3.86 Cr | ₹4.22 - 5.79 Cr | ₹6.31 - 7.42 Cr,,,,,4 BHK,,,,Dr L H Hiranandani Hospital | Powai Plaza,"Finest 2,3,4 BHK apartments in Powai available for sale in Lodha Bellagio. Prices of apartments in this project, vary between Rs. 3.42 - 7.42 Cr. Lodha Bellagio is a RERA- registered society and P51800033966 is the RERA registration number. Lodha Bellagio apartments are available in multiples sizes, ranging from 750 - 1,614 sqft CARPET area",Lodha,,,https://www.99acres.com/lodha-bellagio-powai-central-mumbai-suburbs-npxid-r387813,2 BHK Apartment: ₹3.42 - 3.86 Cr | 3 BHK Apartment: ₹4.22 - 5.79 Cr | 4 BHK Apartment: ₹6.31 - 7.42 Cr,1
Y92590628,PROPERTY,"3 BHK Flat in Chandivali, Mumbai","3 BHK Flat in Chandivali, Mumbai","Tilia-Tulipia ,Nahars Amrit Shakti","Chandivali, Mumbai",₹3.73 Cr,"₹34,601 /sqft","1,078 sqft",(100 sqm),Built-up Area,3 BHK,2,Ready To Move,7th out of 22 Floors | 1 Covered Parking,,"Located in the sought-After tulipia building at nahar amrit shakti, this thoughtfully designed 3 bhk residence offers a serene garden view and a west-Facing exit direction, creating a warm and welcoming living environment with decent natural sunlight throughout the day. The home features a spacious layout with well-Planned interiors, making it ideal for comfortable family living. Residents of t...",Owner,4w ago,,https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-chandivali-central-mumbai-suburbs-1078-sqft-spid-Y92590628,,1
B92662008,PROPERTY,"1 BHK Flat in Hiranandani Gardens Powai, Mumbai","1 BHK Flat in Hiranandani Gardens Powai, Mumbai",Hiranandani Regent Hill,"Hiranandani Gardens Powai, Mumbai",₹1.9 Cr,"₹50,131 /sqft",379 sqft,(35 sqm),Carpet Area,1 BHK,1,Ready To Move,3rd out of 23 Floors | 1 Covered Parking,,"This north-West facing 1 bhk at regent hill offers a calm, settled perspective of the hiranandani gardens neighbourhood. The quiet ambiance filters through effortlessly, with minimal outside noise making evenings and mornings feel genuinely restful. Residents enjoy access to a swimming pool, a well-Equipped gymnasium, and landscaped gardens that reflect the township's signature green character ...",Owner,3w ago,,https://www.99acres.com/1-bhk-bedroom-apartment-flat-for-sale-in-hiranandani-regent-hill-hiranandani-gardens-powai-central-mumbai-suburbs-379-sqft-spid-B92662008,,1
S92244778,PROPERTY,"2 BHK Flat in Powai, Mumbai","2 BHK Flat in Powai, Mumbai",Srishti Panch Srishti,"Powai, Mumbai",₹1.9 Cr,"₹18,446 /sqft","1,030 sqft",(96 sqm),Super Built-up Area,2 BHK,2,Ready To Move,4th out of 17 Floors | Overlooking Park,,"This property faces the east direction. Containing 2 bedroom(s), 2 bathrooms and 1 balcony, this flat is spread over a super built up area of 1030 sq.Ft. This flat is situated on the 4th floor of this 17 floors tall residential building. This is a ready to move project and the property is 5-10 years old. The well built vitrified flooring enhances the aesthetic appeal of this flat. All the moder...",Durga Estate Agency,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-srishti-panch-srishti-powai-central-mumbai-suburbs-1030-sqft-spid-S92244778,,1
