id,listing_type,title,property_name,project,location,price,price_per_sqft,area,area_unit,area_type,bhk,bathrooms,possession,highlights,nearby,description,builder,posted_by,image,url,configurations,source_page
B86278414,PROPERTY,"2 BHK Flat in Dadar West, Mumbai","2 BHK Flat in Dadar West, Mumbai",On Request,"Dadar West, Mumbai",₹3.59 Cr,"₹46,684 /sqft",769 sqft,(71 sqm),Carpet Area,2 BHK,2,Under Construction,45th out of 54 Floors | Overlooking Main Road,,"Available under construction 2 bhk in dadar west, near kabutarkhana, 769 sqft carpet, one car parking, all modern amenities like swimming pool, gym, yoga area, jogging track, kids play area etc. Price rs 3.59 cr ++ possession december 2027, for more information please call hariom estate consultant.",Hariom Estate Consultants,,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dadar-west-south-mumbai-769-sqft-r1-spid-B86278414,,1
265243,PROJECT,Suraj The Palette,Suraj The Palette,,"Dadar West, Mumbai",₹6.94 Cr | ₹8.6 - 12.27 Cr,,,,,3 BHK,,,,Mahatma Jyotibaphule School3 | Dadar Beach,"Finest 2,3 BHK apartments in Dadar West available for sale in Suraj The Palette. This society offers apartments in the price range of Rs. 6.94 - 12.27 Cr. Suraj The Palette is a RERA- registered society and P51900008207 is the RERA registration number. Suraj The Palette has apartments in multiple configurations, in range of 905 - 1,466 sqft",Suraj Estate,,,https://www.99acres.com/suraj-the-palette-dadar-west-south-mumbai-npxid-r265243,2 BHK Apartment: ₹6.94 Cr | 3 BHK Apartment: ₹8.6 - 12.27 Cr,1
401924,PROJECT,Suraj Park View,Suraj Park View,,"Dadar West, Mumbai",₹2.38 - 3.22 Cr | ₹3.53 - 4.82 Cr,,,,,2 BHK,,,,Sane Guruji Vidyalaya | DG Ruparel Chemistry Wing,"Looking for your dream home? Explore 1,2 BHK apartments in Dadar West, now available in Suraj Park View. Apartments in Suraj Park View have CARPET area ranging between 370 - 750 sqft. The housing society is RERA-registered with P51900047891 registration number. Apartments in this complex are available in price range of Rs. 2.38 - 4.82 Cr",Suraj Estate,,,https://www.99acres.com/suraj-park-view-dadar-west-south-mumbai-npxid-r401924,1 BHK Apartment: ₹2.38 - 3.22 Cr | 2 BHK Apartment: ₹3.53 - 4.82 Cr,1
384303,PROJECT,Moraj Opulence,Moraj Opulence,,"Dadar West, Mumbai",₹5.01 Cr | ₹6.71 Cr,,,,,3 BHK,,,,,"Choose your dream home from the wide variety of 2,3 BHK apartments in Dadar West, available for sale in Moraj Opulence. Moraj Opulence has apartments in multiple configurations, in range of 1,077 - 1,442 sqft. Apartments in this complex are available in price range of Rs. 5.01 - 6.71 Cr. Moraj Opulence 's RERA registration number is P51900032370",Moraj AHN Developers,,,https://www.99acres.com/moraj-opulence-dadar-west-south-mumbai-npxid-r384303,2 BHK Apartment: ₹5.01 Cr | 3 BHK Apartment: ₹6.71 Cr,1
347363,PROJECT,Sigma Garnet,Sigma Garnet,,"Dadar West, Mumbai",₹3.93 - 5.95 Cr,,,,,2 BHK,,,,Dadar Railway Station | Symbiosis Speciality Hospital,"Sigma Garnet society now offers elegantly built 2 BHK apartments in Dadar West. Here units have different sizes, mostly in range of 769 - 1,163 sqft CARPET area. Prices of apartments in this project, vary between Rs. 3.93 - 5.95 Cr. Sigma Garnet 's RERA registration number is P51900023487",CCPL,,,https://www.99acres.com/sigma-garnet-dadar-west-south-mumbai-npxid-r347363,2 BHK Apartment: ₹3.93 - 5.95 Cr,1
22810,PROJECT,Bombay Realty Island City Center,Bombay Realty Island City Center,,"Dadar East, Mumbai",₹7.66 - 9.72 Cr | ₹10.6 - 12.88 Cr,,,,,4 BHK,,,,Naigaon Monorail Metro Station | Eastern Express Highway,"Looking for your dream home? Explore 3,4 BHK apartments in Dadar East, now available in Bombay Realty Island City Center. Bombay Realty Island City Center apartments are available in multiples sizes, ranging from 1,611 - 2,514 sqft CARPET area. The housing society is RERA-registered with P51900008726 registration number. Apartment prices in this housing society vary in the range of Rs. 7.66 - 12.88 Cr",Bombay Realty,,,https://www.99acres.com/bombay-realty-island-city-center-dadar-east-south-mumbai-npxid-r22810,3 BHK Apartment: ₹7.66 - 9.72 Cr | 4 BHK Apartment: ₹10.6 - 12.88 Cr,1
407822,PROJECT,Nandivardhan Monopoli,Nandivardhan Monopoli,,"Dadar East, Mumbai",₹2.19 - 3.06 Cr | ₹3.38 - 3.82 Cr | ₹4.21 - 4.71 Cr,,,,,3 BHK,,,,ITC Grand Central Hotel | Gleneagles Hospital,"Here are beautifully built 1,2,3 BHK apartments in Dadar East, available for sale at Nandivardhan Monopoli. Prices of apartments in this project, vary between Rs. 2.19 - 4.71 Cr. Apartments in Nandivardhan Monopoli have CARPET area ranging between 445 - 1,035 sqft. Nandivardhan Monopoli 's RERA registration number is P51900049902",Mathuresh Infrapro,,,https://www.99acres.com/nandivardhan-monopoli-dadar-east-south-mumbai-npxid-r407822,1 BHK Apartment: ₹2.19 - 3.06 Cr | 2 BHK Apartment: ₹3.38 - 3.82 Cr | 3 BHK Apartment: ₹4.21 - 4.71 Cr,1
Q90478694,PROPERTY,"2 BHK Flat in Dadar West, Mumbai","2 BHK Flat in Dadar West, Mumbai",Shardashram Dadar CHS,"Dadar West, Mumbai",₹4.3 Cr,"₹35,833 /sqft","1,200 sqft",(111 sqm),Super Built-up Area,2 BHK,2,Ready To Move,2nd out of 4 Floors | Overlooking Main Road,,"Spacious 2 bhk for sale in prime dadar location | redevelopment opportunity Discover this well-Designed 2 bhk apartment (1200 sq. Ft. Built-Up) located in a secure gated society with a garden, community hall, and excellent lifestyle amenities. The home is semi-Furnished, recently renovated, bright, and well-Ventilated, offering a comfortable and move-In-Ready living experience. Location advanta...",Owner,3mo ago,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-shardashram-dadar-chs-dadar-west-south-mumbai-1200-sqft-spid-Q90478694,,1
463610,PROJECT,SN Janai Heritage,SN Janai Heritage,,"Dadar, Mumbai",₹6.02 Cr | ₹8.77 Cr | ₹12.11 Cr,,,,,4 BHK,,,,PD Hinduja National Hospital & Medical | Bandra Worli Sea Link,"Beautiful 2,3,4 BHK apartments in Dadar, are now available in SN Janai Heritage housing project. SN Janai Heritage apartments are available in multiples sizes, ranging from 803 - 1,615 sqft CARPET area. Apartment prices in this housing society vary in the range of Rs. 6.02 - 12.11 Cr. The housing society is RERA-registered with PR1170002502830 registration number",S N Bandekar And Associates,,,https://www.99acres.com/sn-janai-heritage-dadar-mumbai-south-npxid-r463610,2 BHK Apartment: ₹6.02 Cr | 3 BHK Apartment: ₹8.77 Cr | 4 BHK Apartment: ₹12.11 Cr,1
K92985330,PROPERTY,"2 BHK Flat in Dadar West, Mumbai","2 BHK Flat in Dadar West, Mumbai",Shardashram Dadar CHS,"Dadar West, Mumbai",₹4.3 Cr,"₹35,833 /sqft","1,200 sqft",(111 sqm),Built-up Area,2 BHK,2,Ready To Move,2nd out of 4 Floors | Centrally Air Conditioned,,"The floor plan additionally contains 2 bedroom(s), 2 bathrooms and 2 balconies. All in all, the flat is spread over a built up area of 1200 sq.Ft. The property is located on the 2nd floor of a 4 floors tall building. Being a ready to move project, you can expect immediate possession of this 10+ years old property.",Owner,2w ago,,https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-dadar-west-south-mumbai-1200-sqft-spid-K92985330,,1
