title,price,area,price_per_sqft,locality,city,property_type,bedroom_num,bathroom_num,furnished,total_floors,new_latitude,new_longitude,new_pincode
Octave Parijas Horizon,6600283,757,8719.0,Kalyan,Mumbai,Apartment,2,2,Unfurnished,1,19.2444096,73.1232529,421301
Shakti Siyara Heights,6169841,652,9462.946319018405,Kalyan,Mumbai,Apartment,2,2,Unfurnished,1,19.2572937,73.1488724,421301
Bhagwati Bhagwati Celeste,4599936,396,11616.0,Dombivali,Mumbai,Apartment,1,1,Unfurnished,1,19.2090263,73.0875168,421201
Relcon Ridhi Sidhi Sadan Of Ridhi Sidhi Co Operative Housing Society Ltd,51980000,1130,46000.0,Ville Parle,Mumbai,Apartment,3,3,Unfurnished,1,19.1,72.85,400056
J P Ruchita Bliss,3915000,435,9000.0,Nala Sopara,Mumbai,Apartment,1,1,Unfurnished,1,19.4206009,72.8093185,401209
Saras Destiny,4900320,720,6806.0,Ulwe,Mumbai,Apartment,1,1,Unfurnished,1,18.9729176,73.025032,410206
Nexus Ratan Heritage,14000000,652,21472.39263803681,Jogeshwari,Mumbai,Apartment,2,2,Unfurnished,1,19.1377621,72.8601303,400060
Aristocrat Guruprasad Divine Residency,16400255,565,29027.0,Chembur,Mumbai,Apartment,2,2,Unfurnished,1,19.0322113,72.8952255,400071
9 PBR 9 PBR,74998440,1770,42372.0,Nerul,Mumbai,Apartment,3,3,Unfurnished,1,19.0082588,73.013031,400706
Prestige Bellanza Phase 2 Wing D E F At The Prestige City,65900000,2600,25346.153846153848,Mulund,Mumbai,Apartment,4,5,Unfurnished,1,19.184473,72.9407578,400080
Konark Darshan,3000000,590,5084.745762711865,Nallasopara W,Mumbai,Apartment,1,1,Unfurnished,1,19.4175053,72.8179398,401209
Mahaavir Mannat,19000000,1685,11275.964391691394,Ulwe,Mumbai,Apartment,3,3,Unfurnished,1,18.9714279,73.0141525,410206
Octave Parijas Horizon,4350192,484,8988.0,Kalyan,Mumbai,Apartment,1,1,Unfurnished,1,19.2444096,73.1232529,421301
Shakti Siyara Heights,7564352,801,9443.6354556804,Kalyan,Mumbai,Apartment,2,2,Unfurnished,1,19.2572937,73.1488724,421301
Bhagwati Bhagwati Celeste,4799800,412,11650.0,Dombivali,Mumbai,Apartment,1,1,Unfurnished,1,19.2090263,73.0875168,421201
Relcon Ridhi Sidhi Sadan Of Ridhi Sidhi Co Operative Housing Society Ltd,41007620,891,46024.26487093154,Ville Parle,Mumbai,Apartment,3,3,Unfurnished,1,19.1,72.85,400056
J P Ruchita Bliss,3510000,390,9000.0,Nala Sopara,Mumbai,Apartment,1,1,Unfurnished,1,19.4206009,72.8093185,401209
Saras Destiny,7600395,1095,6941.0,Ulwe,Mumbai,Apartment,2,2,Unfurnished,1,18.9729176,73.025032,410206
Nexus Ratan Heritage,9900000,463,21382.289416846652,Jogeshwari,Mumbai,Apartment,1,1,Unfurnished,1,19.1377621,72.8601303,400060
Aristocrat Guruprasad Divine Residency,12001385,415,28919.0,Chembur,Mumbai,Apartment,1,1,Unfurnished,1,19.0322113,72.8952255,400071
 ,2800000,484,5785.123966942148,Dombivli,Mumbai,Apartment,1,1,Unfurnished,1,19.2251644,73.0796814,421201
 ,2800000,480,5833.333333333333,Taloje,Mumbai,Apartment,1,1,Unfurnished,1,19.0742989,73.1165924,410208
 ,3000000,636,4716.981132075472,Panvel,Mumbai,Apartment,1,1,Unfurnished,1,18.9684048,73.1304779,410206
Giriraj MK Thakur Complex,4500000,750,6000.0,Shil Phata,Mumbai,Apartment,1,1,Unfurnished,1,19.1528492,73.0538406,400612
 ,4000000,550,7272.727272727273,Dombivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2012711,73.0939026,421201
 ,1700000,575,2956.521739130435,Vangani,Mumbai,Apartment,1,1,Unfurnished,1,19.1013355,73.3011398,410502
 ,6200000,685,9051.094890510949,Taloje,Mumbai,Apartment,1,1,Unfurnished,1,19.0742989,73.1165924,410208
 ,4800000,594,8080.80808080808,Kalyan,Mumbai,Apartment,1,1,Unfurnished,1,19.2509098,73.1337967,421301
 ,5500000,350,15714.285714285714,Kharghar,Mumbai,Apartment,1,1,Unfurnished,1,19.0708218,73.0739594,410210
 ,4500000,700,6428.571428571428,Taloje,Mumbai,Apartment,1,1,Unfurnished,1,19.0742989,73.1165924,410208
 ,2300000,500,4600.0,Nalasopara,Mumbai,Apartment,1,1,Unfurnished,1,19.4107161,72.784462,401209
 ,1800000,550,3272.7272727272725,Shil Phata,Mumbai,Apartment,1,1,Semi-Furnished,1,19.1528492,73.0538406,400612
 ,3200000,438,7305.936073059361,Dombivali,Mumbai,Apartment,1,1,Unfurnished,1,19.2012711,73.0939026,421201
 ,2500000,400,6250.0,Badlapur,Mumbai,Apartment,1,1,Unfurnished,1,19.1592293,73.2402115,421504
 ,2200000,550,4000.0,Mumbra,Mumbai,Apartment,1,1,Unfurnished,1,19.1695538,73.0227966,400612
 ,2600000,535,4859.813084112149,Vasai,Mumbai,Apartment,1,1,Unfurnished,1,19.3925934,72.8433533,401201
 ,3000000,699,4291.845493562232,Ambernath,Mumbai,Apartment,1,1,Unfurnished,1,19.1948442,73.1899185,421501
K Raheja Maple Leaf,16500000,750,22000.0,Powai,Mumbai,Apartment,1,2,Semi-Furnished,1,19.1171303,72.8937073,400076
K Raheja Vistas,33200000,1104,30072.463768115944,Powai,Mumbai,Apartment,3,2,Semi-Furnished,1,19.1196804,72.8952599,400076
 ,11000000,1000,11000.0,Koper Khairane,Mumbai,Apartment,2,2,Unfurnished,1,19.1027832,73.0097046,400709
Juhi Bhumika Residency,14400000,1625,8861.538461538461,Kalamboli,Mumbai,Apartment,3,3,Semi-Furnished,1,19.0367775,73.0908737,410218
Platinum The Springs,11500000,1330,8646.616541353384,Kalamboli,Mumbai,Apartment,2,2,Semi-Furnished,1,19.0377579,73.0972824,410218
Sai Avaneesh,10800000,1139,9482.00175592625,Kalamboli,Mumbai,Apartment,2,2,Semi-Furnished,1,19.0377579,73.0972824,410218
Skyline Poseidon,36000000,1050,34285.71428571428,Andheri,Mumbai,Apartment,3,3,Semi-Furnished,1,19.1270065,72.8389206,400053
Royal Palms Ruby Isle,5500000,540,10185.185185185184,Goregaon,Mumbai,Apartment,1,1,Unfurnished,1,19.1535053,72.886261,400062
The Goyal Sea Rock,9500001,600,15833.335,Borivali,Mumbai,Apartment,1,1,Unfurnished,1,19.2262917,72.8569031,400091
 ,2600000,415,6265.060240963855,Dombivli,Mumbai,Apartment,1,1,Semi-Furnished,1,19.2251644,73.0796814,421201
Reputed Builder Rameshwar Darshan,3200000,412,7766.9902912621355,Andheri,Mumbai,Apartment,1,1,Semi-Furnished,1,19.1270065,72.8389206,400053
 ,3300000,420,7857.142857142857,Dombivli,Mumbai,Apartment,1,1,Furnished,1,19.2251644,73.0796814,421201
 ,3800000,557,6822.262118491921,Dombivli,Mumbai,Apartment,1,1,Semi-Furnished,1,19.2251644,73.0796814,421201
 ,3900000,585,6666.666666666667,Dombivli,Mumbai,Apartment,1,1,Semi-Furnished,1,19.2251644,73.0796814,421201
 ,5200000,559,9302.32558139535,Kasaradavali Thane,Mumbai,Apartment,1,1,Unfurnished,1,19.2682152,72.9693146,400607
 ,100000000,1600,62500.0,Vile Parle,Mumbai,Apartment,4,4,Unfurnished,1,19.1106358,72.8366318,400056
Reputed Builder Spring Grove Uno Society,7500000,410,18292.682926829268,Kandivali,Mumbai,Apartment,1,1,Unfurnished,1,19.1964941,72.8708076,400067
 ,5790000,682,8489.736070381232,Kasaradavali Thane,Mumbai,Apartment,1,2,Unfurnished,1,19.2682152,72.9693146,400607
 ,9090000,951,9558.359621451104,Kasaradavali Thane,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2682152,72.9693146,400607
 ,5299999,642,8255.45015576324,Kasaradavali Thane,Mumbai,Apartment,1,2,Unfurnished,1,19.2682152,72.9693146,400607
SD Siennaa Wing D,23000000,945,24338.624338624337,Kandivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2059574,72.8718033,400067
Vajinath The Residences,8700000,1124,7740.213523131672,Kalyan,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2620907,73.1460419,421301
Raj 127 Raj Homes,6800000,655,10381.679389312978,Mira Road,Mumbai,Apartment,1,2,Unfurnished,1,19.2670345,72.871315,401107
Mayfair Akshay,55000000,1800,30555.555555555555,Andheri,Mumbai,Apartment,3,3,Semi-Furnished,1,19.1270065,72.8389206,400053
Sunny Orchid Bliss,9200000,1100,8363.636363636364,Ulwe,Mumbai,Apartment,2,2,Unfurnished,1,18.9659348,73.0214615,410206
Jagani Flower Valley,8500000,900,9444.444444444445,Kalyan,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2594376,73.1204681,421301
Chheda Avighna,10200000,1062,9604.5197740113,Mira Road,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2972145,72.8718796,401107
Tharwani Riverdale Vista,7100000,985,7208.121827411168,Kalyan,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2509098,73.1337967,421301
Omkar Alta Monte,28000000,846,33096.92671394799,Malad,Mumbai,Apartment,2,3,Semi-Furnished,1,19.183365,72.860915,400064
 ,18900000,800,23625.0,Mulund,Mumbai,Apartment,2,2,Unfurnished,1,19.1690693,72.9452667,400080
 ,26000000,1020,25490.196078431374,Prabhadevi,Mumbai,Apartment,2,2,Semi-Furnished,1,19.0149803,72.830307,400014
 ,65000000,1500,43333.333333333336,Dadar,Mumbai,Apartment,3,3,Semi-Furnished,1,19.0198555,72.8385773,400014
 ,7500000,200,37500.0,Lower Parel,Mumbai,Apartment,1,1,Unfurnished,1,19.0017967,72.8281326,400013
Satyam The Regents park,8500000,1000,8500.0,Taloja,Mumbai,Apartment,2,2,Unfurnished,1,19.0473003,73.0699005,410208
Today Oxyfresh Homes,9900000,1000,9900.0,Kharghar,Mumbai,Apartment,2,2,Unfurnished,1,19.0894489,73.076767,410210
Hiranandani Aura,10000000,750,13333.333333333334,Panvel,Mumbai,Apartment,2,2,Unfurnished,1,18.9684048,73.1304779,410206
Today Aamod,5000000,780,6410.25641025641,Panvel,Mumbai,Apartment,1,1,Unfurnished,1,18.9891796,73.117424,410206
Balaji The Ambience,3500000,658,5319.148936170212,Taloja,Mumbai,Apartment,1,1,Unfurnished,1,19.0742989,73.1165924,410208
Godrej The Highlands Godrej City,5400000,780,6923.076923076923,Panvel,Mumbai,Apartment,1,1,Unfurnished,1,18.9367638,73.1814728,410206
 ,18500000,1000,18500.0,Chembur,Mumbai,Apartment,2,2,Unfurnished,1,19.0544338,72.8968964,400071
Sheth Vasant Sagar,17600000,950,18526.315789473683,Kandivali,Mumbai,Apartment,2,2,Semi-Furnished,1,19.2087288,72.8731995,400067
Progressive Mangalam,3500000,700,5000.0,Koper Khairane,Mumbai,Apartment,1,1,Unfurnished,1,19.0782871,73.0782852,400709
Reputed Builder Shapoorji Pallonji Epsilon Astron Tower,26500000,950,27894.736842105263,Kandivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2103062,72.8683777,400067
Reputed Builder Green Vatika CHS,16500000,850,19411.764705882353,Kandivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2128182,72.8690186,400067
 ,16500000,850,19411.764705882353,Kandivali,Mumbai,Apartment,2,2,Unfurnished,1,19.2059574,72.8601685,400067
Nisarg Greens Phase 2 E,3599000,700,5141.428571428572,Ambernath,Mumbai,Apartment,1,2,Unfurnished,1,19.2070103,73.1853638,421501
Patel Ram Ambar,2748000,700,3925.714285714286,Ambernath,Mumbai,Apartment,1,2,Unfurnished,1,19.1990681,73.1950989,421501
 ,6400000,670,9552.23880597015,Kharghar,Mumbai,Apartment,1,1,Unfurnished,1,19.0708218,73.0739594,410210
Balaji Arpan,11500000,1100,10454.545454545454,Kharghar,Mumbai,Apartment,2,2,Furnished,1,19.0708218,73.0739594,410210
Monarch Fortune,11500000,1100,10454.545454545454,Kharghar,Mumbai,Apartment,2,2,Unfurnished,1,19.0708218,73.0739594,410210
 ,13000000,1125,11555.555555555555,Kharghar,Mumbai,Apartment,2,2,Unfurnished,1,19.0708218,73.0739594,410210
