price,sqrt,location,bhk,New/Resale,Gymnasium,Lift Available,CarParking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
,1498.0,Kharghar,3.0,0.0,1,No,1,0,Yes,1,1,0,,0,0,1,1
125000000.0,2904.0, WORLI,4.0,,1,1,1,1,1,,,1,1,1,1,1,1
43000000.0,2195.0,Goregaon East,3.0,0.0,1,1,1,No,1,1,1,1,1,Yes,0,1,1
4500000.0,738.0,Taloja,1.0,0.0,1,1,1,No,1,1,1,1,1,1,,1,1
6000000.0,650.0,Mira Road East,2.0,0.0,0,1,0,,1,0,0,0,No,No,0,0,0
3000000.0,1160.0,Boisar,3.0,,,1,0,No,0,1,,,1,0,0,1,1
11500000.0,650.0,Mulund East,1.0,0.0,1,1,0,0,0,1,1,1,0,,Yes,No,
5500000.0,700.0,Ulwe,2.0,1.0,0,0,0,No,No,0,0,0,0,0,0,0,No
9700000.0,645.0,Mira Road East,3.0,1.0,,1,1,No,1,1,1,Yes,1,1,0,1,
10800000.0,928.0,Thane West,2.0,1.0,1,1,0,0,0,1,1,Yes,0,,0,0,1
6500000.0,1100.0,Beturkar Pada,2.0,0.0,0,Yes,,0,0,0,1,0,0,,0,,0
8000000.0,,Koper Khairane,1.0,0.0,,1,1,1,Yes,0,1,0,0,0,No,0,0
4800000.0,855.0,Kalyan East,,1.0,0,1,,0,No,,0,,0,No,0,0,0
11500000.0,1771.0,Panvel,3.0,1.0,1,1,Yes,0,1,1,1,1,1,1,0,Yes,1
13899999.0,538.0,Kanjurmarg,2.0,1.0,1,0,0,0,,1,Yes,,0,Yes,No,No,Yes
6000000.0,700.0,Thane West,1.0,,1,1,0,0,1,1,1,1,1,1,0,0,0
60100000.0,1435.0,Juhu,3.0,1.0,,1,1,,1,0,0,1,0,0,,,1
6500000.0,500.0,Sector 19 Nerul,1.0,0.0,0,0,0,0,1,No,0,0,0,0,0,0,0
10200000.0,585.0,Malad West,1.0,1.0,1,1,1,0,1,1,1,,1,0,0,1,0
