price,sqrt,location,bhk,Gymnasium,Lift Available,CarParking,Maintenance Staff,Swimming Pool
14950000.0,1498.0,kharghar,3.0,1,0,1,0,1
125000000.0,2904.0,worli,4.0,1,1,1,1,1
43000000.0,2195.0,goregaon east,3.0,1,1,1,0,1
4500000.0,738.0,taloja,1.0,1,1,1,0,1
6000000.0,650.0,mira road east,2.0,0,1,0,0,0
3000000.0,1160.0,boisar,3.0,0,1,0,0,1
11500000.0,650.0,mulund east,1.0,1,1,0,0,0
5500000.0,700.0,ulwe,2.0,0,0,0,0,0
9700000.0,645.0,mira road east,3.0,0,1,1,0,0
10800000.0,928.0,thane west,2.0,1,1,0,0,1
6500000.0,1100.0,beturkar pada,2.0,0,1,0,0,0
8000000.0,698.0,koper khairane,1.0,0,1,1,1,0
4800000.0,855.0,kalyan east,2.0,0,1,0,0,0
11500000.0,1771.0,panvel,3.0,1,1,1,0,1
13899999.0,538.0,kanjurmarg,2.0,1,0,0,0,1
6000000.0,700.0,thane west,1.0,1,1,0,0,0
60100000.0,1435.0,juhu,3.0,0,1,1,0,1
6500000.0,500.0,sector 19 nerul,1.0,0,0,0,0,0
10200000.0,585.0,malad west,1.0,1,1,1,0,0
23000000.0,1100.0,unknown,3.0,0,1,1,1,0
13500000.0,565.0,powai,1.0,0,1,1,0,1
8800000.0,600.0,kandivali west,1.0,1,1,0,0,1
55000000.0,1388.0,lower parel,2.0,0,0,1,1,0
12750000.0,1150.0,ulwe,3.0,1,0,1,0,0
7837000.0,1045.0,mira road east,2.0,0,1,0,0,0
14400000.0,1030.0,seawoods,2.0,1,1,1,0,0
24000000.0,828.0,kandivali west,2.0,1,1,1,0,1
15000000.0,850.0,andheri  east,2.0,0,1,1,0,1
2900000.0,695.0,taloja,1.0,0,1,1,1,0
14800000.0,882.0,kurla,2.0,1,0,0,0,0
12000000.0,931.0,panvel,3.0,1,1,1,0,1
8588000.0,1130.0,kharghar,2.0,1,1,1,1,1
19500000.0,1200.0,malad east,2.0,0,0,0,0,0
5300000.0,860.0,nala sopara,1.0,0,1,0,0,0
2300000.0,640.0,virar,1.0,0,1,0,0,0
25000000.0,1250.0,andheri  west,3.0,1,1,0,0,1
19900000.0,664.0,mulund west,2.0,1,0,1,0,1
2005000.0,575.0,badlapur,1.0,0,1,1,0,0
15500000.0,800.0,jogeshwari west,2.0,0,1,0,0,0
10800000.0,1260.0,thane west,2.0,1,1,0,0,1
19500000.0,1215.0,unknown,3.0,0,1,1,1,1
16000000.0,800.0,andheri  west,2.0,0,0,0,0,1
9300000.0,1800.0,panvel,3.0,1,1,0,0,1
2700000.0,712.0,virar west,1.0,1,1,0,0,0
30000000.0,2355.0,unknown,4.0,1,1,1,0,1
28000000.0,730.0,mumbai,2.0,1,1,1,1,0
15200000.0,1286.0,nerul,3.0,1,1,1,1,1
7500000.0,1050.0,kharghar,2.0,0,1,1,1,0
8800000.0,804.0,panvel,2.0,1,1,1,0,1
3500000.0,607.0,kalyan west,1.0,1,1,0,0,1
10400000.0,1365.0,mira road east,3.0,0,1,0,0,0
9500000.0,950.0,unknown,2.0,1,1,1,1,1
13500000.0,1340.0,sector 19 kharghar,2.0,0,0,1,1,0
5900000.0,725.0,kalamboli,1.0,0,1,0,0,0
6400000.0,1180.0,mira road and beyond,2.0,1,1,1,0,0
9300000.0,1310.0,kamothe,2.0,0,0,1,1,0
5000000.0,702.0,mumbai agra national highway,1.0,0,0,0,0,0
8000000.0,720.0,thane west,1.0,0,1,1,0,1
2390000.0,556.0,unknown,1.0,0,1,0,0,0
8100000.0,1097.0,unknown,2.0,0,0,0,0,0
14500000.0,839.0,kandivali west,2.0,1,1,1,0,0
8500000.0,560.0,dahisar west,1.0,0,0,0,0,0
32500000.0,980.0,dadar west,2.0,0,1,1,0,0
6000000.0,740.0,kharghar,1.0,1,1,1,1,0
4500000.0,550.0,kharghar,1.0,0,1,1,1,0
10000000.0,1700.0,kamothe,3.0,1,1,1,1,0
8420000.0,960.0,unknown,2.0,1,1,0,0,1
19000000.0,980.0,goregaon west,2.0,1,1,0,0,0
4000000.0,565.0,kalyan west,1.0,0,1,1,0,0
57000000.0,1203.0,ghatkopar west,4.0,1,1,1,1,0
3125000.0,680.0,taloja,1.0,0,0,1,1,0
19250000.0,946.0,powai,2.0,1,0,1,0,1
33500000.0,1112.0,goregaon west,3.0,1,1,1,0,0
4052000.0,1113.0,badlapur east,2.0,1,1,1,0,1
8900000.0,1690.0,panvel,3.0,1,1,1,0,0
12400000.0,650.0,andheri  east,1.0,0,0,0,0,0
18000000.0,1350.0,goregaon west,3.0,1,1,0,0,1
19700000.0,709.0,unknown,2.0,0,0,0,0,0
13899999.0,614.0,kandivali east,2.0,1,1,1,0,1
8725000.0,1140.0,kamothe,2.0,1,1,1,0,1
17900000.0,1400.0,kandivali west,3.0,0,1,0,0,0
3600000.0,800.0,nala sopara,2.0,0,1,0,0,0
15000000.0,1100.0,dahisar,2.0,0,1,0,0,1
22000000.0,1300.0,borivali west,2.0,1,1,1,0,1
112500000.0,2436.0,napeansea road,3.0,1,1,1,1,1
40000000.0,610.0,matunga east,1.0,0,1,0,0,0
2460000.0,510.0,taloja,1.0,1,1,0,0,0
9013000.0,1195.0,panvel,2.0,1,1,1,0,1
18900000.0,1404.0,malad west,3.0,1,1,0,1,1
6500000.0,645.0,ghansoli,1.0,0,1,0,0,0
